mandat_id,mandature_id,personne_id,nom,prenom,role,from_date,to_date,source_personne,source
,gouv_sarraut_2,,Besse,René,Ministre des Pensions,,,,https://fr.wikipedia.org/wiki/Gouvernement_Albert_Sarraut_(2)
,gouv_chautemps_4,,Bibié,Maxence,Sous-secrétaire d’État au Commerce,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(4)
,gouv_daladier_2,,Bibié,Maxence,Sous-secrétaire d’État à la France d’Outre-mer,,,,https://fr.wikipedia.org/wiki/Gouvernement_Édouard_Daladier_(2)
,gouv_sarraut_1,,Bibié,Maxence,Sous-secrétaire d’État à la Présidence du Conseil et à la Marine chargé de l'Économie nationale,,,,https://fr.wikipedia.org/wiki/Gouvernement_Albert_Sarraut_(1)
,gouv_sarraut_2,,Bibié,Maxence,Sous-secrétaire d’État au Travail,,,,https://fr.wikipedia.org/wiki/Gouvernement_Albert_Sarraut_(2)
,gouv_doumergue_1,,Bienvenu-Martin,Jean,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_Gaston_Doumergue_(1)
,gouv_rouvier_2,,Bienvenu-Martin,Jean,"Ministre de l'Instruction publique, des Beaux-Arts et des Cultes",,,,https://fr.wikipedia.org/wiki/Gouvernement_Maurice_Rouvier_(2)
,gouv_rouvier_3,,Bienvenu-Martin,Jean,"Ministre de l'Instruction publique, des Beaux-Arts et des Cultes",,,,https://fr.wikipedia.org/wiki/Gouvernement_Maurice_Rouvier_(3)
,gouv_viviani_1,,Bienvenu-Martin,Jean,Ministre de la Justice,,,,https://fr.wikipedia.org/wiki/Gouvernement_René_Viviani_(1)
,gouv_viviani_2,,Bienvenu-Martin,Jean,Ministre du Travail et de la Prévoyance sociale,,,,https://fr.wikipedia.org/wiki/Gouvernement_René_Viviani_(2)
,gouv_leygues,,Bignon,Paul,"Sous-secrétaire d'État aux Ports, à la Marine marchande et aux Pêches",,,,https://fr.wikipedia.org/wiki/Gouvernement_Georges_Leygues
,gouv_millerand_1,,Bignon,Paul,"Sous-secrétaire d’État aux Ports, à la Marine marchande et aux Pêches",,,,https://fr.wikipedia.org/wiki/Gouvernement_Alexandre_Millerand_(1)
,gouv_millerand_2,,Bignon,Paul,"Sous-secrétaire d’État aux Ports, à la Marine marchande et aux Pêches",,,,https://fr.wikipedia.org/wiki/Gouvernement_Alexandre_Millerand_(2)
,gouv_de_freycinet_2,,Billot,Jean-Baptiste,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Charles_de_Freycinet_(2)
,gouv_duclerc,,Billot,Jean-Baptiste,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Charles_Duclerc
,gouv_méline,,Billot,Jean-Baptiste,Ministre de la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Jules_Méline
,gouv_briand_10,,Binet,François,Ministre de l’Agriculture,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(10)
,gouv_briand_9,,Binet,François,Ministre de l'Agriculture,,,,https://fr.wikipedia.org/wiki/Gouvernement_Aristide_Briand_(9)
,gouv_laval_1,,Blaisot,Camille,Ministre de la Santé publique,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Laval_(1)
,gouv_laval_2,,Blaisot,Camille,Ministre de la Santé publique,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Laval_(2)
,gouv_laval_3,,Blaisot,Camille,Ministre de la Santé publique,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Laval_(3)
,gouv_laval_4,,Blaisot,Camille,Sous-secrétaire d’État à la Présidence du Conseil,,,,https://fr.wikipedia.org/wiki/Gouvernement_Pierre_Laval_(4)
,gouv_tardieu_3,,Blaisot,Camille,Ministre de la Santé publique,,,,https://fr.wikipedia.org/wiki/Gouvernement_André_Tardieu_(3)
,gouv_blum_1,,Blancho,François,Sous-secrétaire d’État à la Marine de Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Blum_(1)
,gouv_blum_2,,Blancho,François,Sous-secrétaire d’État à la Marine militaire,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Blum_(2)
,gouv_chautemps_3,,Blancho,François,Sous-secrétaire d’État à la Marine de Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Camille_Chautemps_(3)
,gouv_reynaud,,Blancho,François,Sous-secrétaire d’État à l’Armement,,,,https://fr.wikipedia.org/wiki/Gouvernement_Paul_Reynaud
,gouv_gambetta,,Blandin,Eugène,Sous-secrétaire d'État à la Guerre,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Gambetta
,gouv_blum_1,,Blum,Léon,Ministre de l'Intérieur,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Blum_(1)
,gouv_blum_1,,Blum,Léon,Président du Conseil,,,,https://fr.wikipedia.org/wiki/Gouvernement_Léon_Blum_(1)
